Temperature (in C),pH,Fermentation time (days),Substrate concentration (%w/v),Agitation rate (rpm),Xylanase acitvity experimental (U/ml)
34.922189288292365,5.986481167067597,7.976582641569822,3.0639162526984776,106.75359461949196,38.11
40.29641920573358,6.9002719146102605,5.931267804696837,2.958139251863753,113.98842217968384,44.25
39.82532433105628,5.977483950057214,7.9962005663326785,3.027779421960782,78.83151446920878,51.64
39.78342259675603,6.090611383698955,6.0035917453909295,4.970782232916623,109.0390118741936,44.85
39.91617620130292,6.01423723800126,6.009428584645088,2.8593545295461578,135.5906554640701,39.95
40.44468609166289,6.977508534946093,6.8217267902499445,2.9901766110642654,79.3623932763868,70.28
40.03067899525957,5.902962871479166,7.006672726458143,3.0526342792249954,113.82102220527818,39.81
40.07953322904171,4.901328974750199,6.987138113774168,0.9895217434290084,111.48816969728136,40.72
39.822803270486425,6.008514986970956,7.958441472688612,4.876558550078763,109.59093110766447,47.79
40.33553134291641,6.057530298459626,7.1145095858210565,1.0125743540184555,78.68466442810058,37.13
40.49916004362671,6.016206685140042,6.988882627190292,4.901356334926824,139.62977582035612,48.81
44.70988944325305,5.98815667845709,6.969765190159126,2.9971832115559383,139.89213603562067,3.21
39.40457808608324,5.094166050264818,7.062873287540927,2.990562441967359,141.08338365169888,33.91
45.25246417062851,4.981216389475121,6.904173656142589,3.130993402431274,109.23592700291952,2.65
34.869754310792835,7.032260222263415,7.074705805322612,2.8422521521463446,110.47170769065174,42.68
39.84461525224021,5.052072272767536,7.88031604687985,3.047410663323521,107.38403253562876,46.37
40.47168832029262,5.009460844380719,5.986564420635016,2.928403984153957,110.08012838239696,43.27
34.410181787018075,6.041491635045024,5.884693776641817,2.8105576360046096,107.8420178084048,35.02
40.09368304149585,7.057307505841184,8.04530393153784,2.9800999939924573,109.84097489288436,49.42
45.05534559018768,6.0054421847244255,7.971003585786964,2.886779920077375,110.51737335792232,2.09
44.57692661810904,5.955764854283466,6.012596019107603,2.8464314565562256,108.70109888495725,2.57
45.28156794186327,6.008410437803221,7.054535380335898,1.059228269325359,111.47039918674976,0.81
39.85207494361614,6.9429009888151985,6.959521144323657,1.0300187120316697,112.29736631628633,43.61
39.848160309582774,5.934183260095747,7.028577332350781,1.0653333102511306,140.84062488360948,37.65
39.93109301508226,4.962596929546264,6.960301837676189,3.312138907334372,81.020501854347,63.02
35.12279528595795,5.9271760034485625,7.009723725993909,5.087881166709163,112.73377522328923,44.22
45.385850759029566,5.966420336032962,7.004450080919797,4.971471808551625,110.09590450389375,2.73
39.884403259705905,5.982234419290407,6.087319437628034,2.888692821585944,79.94487241025438,45.26
44.502136583109476,6.036194846824375,6.979166285429444,2.722152192776078,80.698723077245,3.88
40.2671252402961,7.007262682833604,6.992712330967366,5.114237699224981,109.68254870670258,44.56
34.89452887512444,6.0210553871404136,7.013164975604832,0.9424637408751986,110.3248835892,28.19
34.55374619316778,5.944388995572484,6.914540169690066,3.0214316048727716,139.80722013607271,39.13
39.36506470145773,5.992632895503928,6.900251482925947,3.0859335627449718,109.22039611199912,45.22
40.49115983154253,6.031677183716973,6.976991660782639,2.7933858659461634,109.29342896674262,44.66
40.33145458288547,6.982965495760523,6.971501683092916,2.8196613562893207,141.09596173416767,43.89
35.28116480805498,5.061623655338231,7.064989624802308,2.9070534370150596,110.70452176041022,36.58
34.82965818388776,5.991863045234771,7.02724387444535,3.0169186973469966,77.88959030641753,39.18
39.78456662562808,5.9878988100873975,8.020014960218692,3.1283616690116816,141.56425461061133,40.82
40.22090734675584,6.036691688690125,8.004693463162642,1.2035526057569639,111.83069891917998,45.32
45.70795315941249,6.938098810061646,6.955815794096689,3.0599470517910223,111.31727358878176,1.76
39.938363597422494,5.05547873275963,7.000847855970744,4.932962505224514,110.32205952309897,51.11
39.982279142576346,5.92689365883026,7.000571148362334,2.9657995541621642,109.83358157507874,52.09
39.43220984762692,5.969753757039993,7.053656378477277,3.0835090814490096,107.72916659535993,42.78
40.087049295197716,5.9749120176892445,6.999814398498445,2.9648317036531675,111.11839981760356,48.67
39.94106869158255,6.074876804416998,5.988988670773654,1.1026558658745027,110.22715476897993,42.01
39.659407819441014,6.056418023805344,6.998368361464359,4.965782797689908,77.62057103850685,47.17
34.8230455433754,6.104947472303734,7.850696634673829,2.94851603847064,111.91856524924985,38.11
40.03663977636073,6.986443123913929,6.063082230178275,2.949865739906024,110.69086634596106,44.25
39.866850230970144,6.111041594996712,8.006945484405916,3.0743893738360595,80.39193973200885,51.64
39.93152177070931,5.897387415376077,5.980949445746964,5.054482624704141,112.66889296961645,44.85
40.02034077387942,6.025842606692207,6.010863899262124,3.070592304693294,140.50592501758666,39.95
40.07757988204917,6.893212308711266,6.933324387024469,3.080822580182873,78.81099063527716,70.28
40.06991008081178,6.0103754050441704,6.93599542425292,2.9513384813273067,111.21843331730503,39.81
40.538714826411265,5.034949746786979,6.9818884486977515,1.1024604771698545,107.75172319446932,40.72
40.217670463985755,5.977492056963472,7.8278512706688925,5.076585883545157,112.52915439348621,47.79
40.27923670875114,6.087323434732182,7.115362040742727,1.0055273586234503,80.31194609904125,37.13
40.074917606403034,5.954714952057825,7.031003911079953,4.868989082933771,138.8800321833871,48.81
45.12174838090149,6.080513540843709,7.057500946220151,2.9699525083141114,140.53715505851721,3.21
39.67943164305227,5.0665777797826514,6.899222566697668,3.10151107589902,137.69945246125354,33.91
45.00591982003057,4.98331558944683,7.035497651942529,3.0576794763350774,109.58230443369928,2.65
35.2056484542176,6.98530593537086,7.02400402372328,3.012875140129283,111.08845342322982,42.68
39.55633562654957,5.084275074860628,8.05486068038038,3.007401887197648,109.26043557007145,46.37
40.42804016201943,4.969671089618584,5.903071699349406,2.952856889787123,106.68923979321673,43.27
34.83156772482667,6.009976629500159,5.998942368651658,2.832110204679691,112.3592367903609,35.02
40.25747777430518,6.950664121927128,8.013076567665427,3.020721510205326,109.80404993958985,49.42
44.80804348673858,6.1057246045255,7.91236874632619,3.063460141895649,109.99240392817038,2.09
44.659217957823714,5.824460969941237,5.877048812011594,3.0533391295602472,111.84373217016211,2.57
44.554633732029444,6.005552738151942,7.033689654052171,0.9545110012332256,109.05396087841994,0.81
39.523477229155844,6.983700644437374,7.128339859208195,0.9217899279921911,110.39614502292586,43.61
39.347195795454994,6.042563978834158,6.9669360156952695,1.0403189667061417,141.38681649491474,37.65
40.709311504958364,4.924558038236242,6.900213515840868,2.8589539313399635,79.30631970046764,63.02
35.388455093578536,6.023123365875011,6.872595924194365,5.339862495080232,112.12486295865868,44.22
44.41433558390513,5.96039397166248,7.137205812807832,4.993347448757874,106.1590460887937,2.73
40.52995646946319,6.076340857971631,6.038371287891939,2.613476318308908,77.37825550139145,45.26
44.563910928608706,6.01114306233217,7.0391609514935345,3.021962260783953,76.61867375074675,3.88
40.223695624393905,6.915256546081033,7.14182386540955,4.8081050984968225,108.13652928423757,44.56
34.76613323301083,6.02035513571861,6.864841248929446,1.0721081944264663,108.5715399562059,28.19
34.97812766903117,6.057135114562781,6.979181062402957,3.060609662570934,141.19572441438177,39.13
40.32116863354091,5.928256144680277,7.1831524549991865,2.823325050312517,105.39730450806063,45.22
40.40109726976747,6.091243920448267,7.087168661413095,3.041196549941976,110.09645238012004,44.66
39.94473439469482,7.0197071790832135,6.99072141169043,3.341953520326713,141.63218762583338,43.89
34.753160263330514,5.095185369083655,6.9418729039825475,3.003002443956508,113.46973668251478,36.58
35.23917549196297,6.044212912769281,7.023846773115891,3.0272050387667777,79.7123092933914,39.18
39.996595430863984,5.906901711357068,8.109107054171204,2.896228769689646,137.78528947565383,40.82
40.950271198346606,6.057254994546551,7.9623929381112255,1.284391035449635,107.97547862872918,45.32
44.84316691906613,7.05019377460699,6.953375772217103,3.045825388721933,106.52060902089194,1.76
39.95872185524306,5.030042455658294,6.932486175139686,5.094555965021182,108.2471479462802,51.11
39.92780323510997,5.860101014499037,7.194878661053618,3.153399408328796,109.74317393214677,52.09
40.30291826243449,5.927730955545918,6.925412758697927,3.1095455038055873,108.8390127515185,42.78
39.8951866513118,5.992536613640373,7.089324834839076,3.02406455003904,108.84342120412862,48.67
39.65939521240463,6.073030571306113,5.970649035615442,0.9243248278460663,105.79453903603996,42.01
40.03691867175332,6.034998448438247,7.0201414831428215,4.865921965442508,81.30085644089641,47.17
34.68260917403747,6.142921175139063,7.9912460715792895,3.089772684258553,106.0699709978179,38.11
40.06015072184427,6.880353705860491,5.936321172573882,2.8996437520221705,114.65040841480696,44.25
39.393150659042035,5.986418201772731,8.020238986057155,2.985500146502176,76.99327380525183,51.64
39.27029194873983,6.0394076016962215,6.000086106414727,4.817708416192875,109.05158534629935,44.85
39.9326045061456,5.9886507513815666,5.90096749174077,2.9939849983865248,139.45027744761333,39.95
40.386612567949236,6.988274156669509,6.826680611093305,3.057992103571809,79.63485479780175,70.28
40.270835795886065,5.817719903211575,6.991923678963874,3.073773982920688,113.94696014813675,39.81
39.45349791237897,4.896747939917404,7.0069439187007205,0.964133221803658,114.17679227265589,40.72
40.35475428966123,6.1597151633185545,7.933914505632505,5.009401279559764,111.29309803881384,47.79
40.40339945565485,6.002242121969844,7.161841968838473,0.9909032255515888,78.17054872155154,37.13
40.637951041422276,6.1739552017047545,6.9310794880777555,5.020308557809798,138.66170821131516,48.81
44.02668753738497,6.042805241333615,6.956379549040107,3.0726854664446632,139.09834091834182,3.21
39.3411687663418,5.143023704326701,7.12458999230458,3.0929173783634925,141.05423638643487,33.91
45.46990393805817,5.026627473089822,6.9990494174780284,3.0835509361208278,109.78451476580447,2.65
35.01261045008574,6.970362963632939,6.984356623270582,2.7304526315286037,109.98633188906062,42.68
40.20297738947225,4.937348924812843,8.026413709884878,2.9822704628662438,107.37301290840537,46.37
40.2397829590547,5.123869823248147,5.979087543224072,3.0450519011467456,110.32223006931815,43.27
33.729200808669916,6.1074757408690035,5.853261397888235,2.7542841181240654,107.50808008516384,35.02
39.807154404874346,7.086256013088849,8.06574535538362,3.0779645577160406,110.09408578134585,49.42
44.927762506463054,5.99285600809503,7.997047561504459,2.7628659034687706,108.65186845681242,2.09
44.61625557374486,6.001145040187277,6.062957535199949,2.7519922273699455,106.3278631100967,2.57
45.56716420322717,6.042137367196794,6.917644681160798,1.2435855036745433,111.6882128406263,0.81
