TEMPERATURE (degree C),pH,FERMENTATION TIME (DAYS),SUBSTRATE CONCENTRATION (%),AGITATION RATE (rpm),EXPERIMENTAL XYLANASE ACTIVITY (U ml-1)
40.07797111215736,6.026917421924519,7.945920037228595,3.141924733460901,79.97259373283707,56.83
39.84246063514054,6.965388040453805,7.06965695158753,0.9235851197852676,110.00322236725488,39.64
35.17088297728378,4.981700886054945,7.03769780483748,3.168369829251296,106.10683838524636,43.6
40.1158274606674,6.017985843142862,6.991644837041769,0.8492161278569816,141.92070827411456,26.51
40.087416337123855,6.041351488889952,7.01022284990275,3.1516058243641205,110.6918361982168,46.62
40.32072355555193,4.966486068365578,6.976448260732837,2.871711294242617,82.15792539978301,54.82
39.97401896945157,6.0163177746049366,6.962661645482221,2.890905059108377,109.12906610968807,51.58
44.881551647542665,7.053462862913032,7.088283526059899,3.205169780492752,111.23009337289976,2.13
44.352786807374535,6.148856294140276,5.970062744855349,3.128403971504009,108.5916041209315,5.15
39.86649796056497,6.986418157787366,7.00494968135861,3.0634718100242044,80.75242189120588,61.92
44.95548846098001,6.102409574499225,7.005762980766694,3.1304725267910976,79.59138582983084,4.18
44.62525951465585,6.02372034979383,7.017842939668244,1.0553060585428895,111.15160982214186,0.965
45.16683057266478,6.00216495806273,7.02549814157608,2.9620273019318666,138.8613217882304,4.057
34.78131960322932,5.984641910819944,7.918312270301574,2.828643455912441,110.36937778102678,50.63
39.806471185641584,6.973310801655962,6.98738470795239,4.816503952382553,110.16681621451207,49.79
40.045238482936725,6.991738623394273,5.990715158942722,2.918856311677372,110.70956629211749,40.72
40.70738829845309,5.9971343857044825,8.051198859093462,5.355270291070666,108.20624079420364,54.56
39.635829129237,5.977177677933064,6.935689802787535,1.018691265656595,78.2948105083849,39.36
39.39783556327589,4.930894166938765,6.948231668956946,2.6739567946969633,142.85517398256493,44.77
40.032984977303734,6.018002252590882,5.940249937949898,1.097380000353675,111.23264522550889,32.01
34.8791075985636,6.01508781272819,7.018940861215692,2.8943236163087462,137.74888440584894,45.03
35.54553251872097,5.918805417898418,6.9848293900770155,1.0269153501127821,109.83319432854543,32.57
40.25248783811895,6.065119801162244,7.880019052671328,1.1370144547554462,106.85416355881458,57.38
39.84996851701734,4.890977652848244,8.09171300567272,2.9802127578404165,110.20480494711246,58.61
39.58752250126347,6.047092846071617,7.062907802256156,3.2247356501755355,111.44907638608794,37.74
39.70125208279321,5.929629142466218,6.849181977334593,3.0961151659395005,112.71389964485218,36.29
35.03912436925632,7.0499439404304844,7.031827563513739,2.999923206058606,110.20336005426064,43.05
40.153446226849624,4.855409624364228,5.978726916831125,3.012929702168716,110.74165322197575,41.95
